query_idx,K,jaccard,intersection
77,5,0.1111111111111111,1
77,10,0.05263157894736842,1
77,20,0.14285714285714285,5
77,50,0.3157894736842105,24
77,100,0.3157894736842105,48
78,5,0.42857142857142855,3
78,10,0.3333333333333333,5
78,20,0.2903225806451613,9
78,50,0.2987012987012987,23
78,100,0.2345679012345679,38
79,5,0.42857142857142855,3
79,10,0.42857142857142855,6
79,20,0.42857142857142855,12
79,50,0.3698630136986301,27
79,100,0.2345679012345679,38
80,5,0.25,2
80,10,0.3333333333333333,5
80,20,0.2903225806451613,9
80,50,0.3333333333333333,25
80,100,0.2422360248447205,39
81,5,0.1111111111111111,1
81,10,0.17647058823529413,3
81,20,0.08108108108108109,3
81,50,0.06382978723404255,6
81,100,0.05263157894736842,10
82,5,0.25,2
82,10,0.3333333333333333,5
82,20,0.6666666666666666,16
82,50,0.3888888888888889,28
82,100,0.1834319526627219,31
83,5,0.42857142857142855,3
83,10,0.5384615384615384,7
83,20,0.42857142857142855,12
83,50,0.4084507042253521,29
83,100,0.21951219512195122,36
84,5,0.25,2
84,10,0.25,4
84,20,0.3793103448275862,11
84,50,0.4492753623188406,31
84,100,0.2422360248447205,39
85,5,0.42857142857142855,3
85,10,0.6666666666666666,8
85,20,0.42857142857142855,12
85,50,0.26582278481012656,21
85,100,0.13636363636363635,24
86,5,0.42857142857142855,3
86,10,0.42857142857142855,6
86,20,0.42857142857142855,12
86,50,0.28205128205128205,22
86,100,0.21212121212121213,35
87,5,0.0,0
87,10,0.0,0
87,20,0.1111111111111111,4
87,50,0.13636363636363635,12
87,100,0.13636363636363635,24
88,5,0.42857142857142855,3
88,10,0.25,4
88,20,0.14285714285714285,5
88,50,0.07526881720430108,7
88,100,0.05263157894736842,10
89,5,0.25,2
89,10,0.17647058823529413,3
89,20,0.2903225806451613,9
89,50,0.28205128205128205,22
89,100,0.17647058823529413,30
90,5,0.25,2
90,10,0.42857142857142855,6
90,20,0.3793103448275862,11
90,50,0.47058823529411764,32
90,100,0.43884892086330934,61
91,5,0.42857142857142855,3
91,10,0.3333333333333333,5
91,20,0.14285714285714285,5
91,50,0.35135135135135137,26
91,100,0.41843971631205673,59
92,5,0.1111111111111111,1
92,10,0.42857142857142855,6
92,20,0.42857142857142855,12
92,50,0.47058823529411764,32
92,100,0.26582278481012656,42
93,5,0.25,2
93,10,0.3333333333333333,5
93,20,0.3793103448275862,11
93,50,0.35135135135135137,26
93,100,0.3793103448275862,55
94,5,0.25,2
94,10,0.3333333333333333,5
94,20,0.3333333333333333,10
94,50,0.4084507042253521,29
94,100,0.47058823529411764,64
95,5,0.42857142857142855,3
95,10,0.42857142857142855,6
95,20,0.48148148148148145,13
95,50,0.3333333333333333,25
95,100,0.26582278481012656,42
96,5,0.42857142857142855,3
96,10,0.42857142857142855,6
96,20,0.5384615384615384,14
96,50,0.3333333333333333,25
96,100,0.21951219512195122,36
97,5,0.1111111111111111,1
97,10,0.25,4
97,20,0.5384615384615384,14
97,50,0.4925373134328358,33
97,100,0.2422360248447205,39
98,5,0.25,2
98,10,0.25,4
98,20,0.3333333333333333,10
98,50,0.42857142857142855,30
98,100,0.3333333333333333,50
99,5,0.25,2
99,10,0.42857142857142855,6
99,20,0.6,15
99,50,0.3888888888888889,28
99,100,0.19047619047619047,32
100,5,0.42857142857142855,3
100,10,0.3333333333333333,5
100,20,0.3793103448275862,11
100,50,0.26582278481012656,21
100,100,0.30718954248366015,47
101,5,0.1111111111111111,1
101,10,0.1111111111111111,2
101,20,0.14285714285714285,5
101,50,0.26582278481012656,21
101,100,0.3333333333333333,50
102,5,0.42857142857142855,3
102,10,0.25,4
102,20,0.3333333333333333,10
102,50,0.26582278481012656,21
102,100,0.2345679012345679,38
103,5,0.42857142857142855,3
103,10,0.3333333333333333,5
103,20,0.3333333333333333,10
103,50,0.3698630136986301,27
103,100,0.26582278481012656,42
104,5,0.1111111111111111,1
104,10,0.1111111111111111,2
104,20,0.05263157894736842,2
104,50,0.26582278481012656,21
104,100,0.3888888888888889,56
105,5,0.25,2
105,10,0.42857142857142855,6
105,20,0.3793103448275862,11
105,50,0.2987012987012987,23
105,100,0.26582278481012656,42
106,5,0.0,0
106,10,0.3333333333333333,5
106,20,0.3333333333333333,10
106,50,0.3157894736842105,24
106,100,0.2422360248447205,39
107,5,0.0,0
107,10,0.0,0
107,20,0.02564102564102564,1
107,50,0.010101010101010102,1
107,100,0.010101010101010102,2
108,5,0.1111111111111111,1
108,10,0.25,4
108,20,0.3333333333333333,10
108,50,0.2345679012345679,19
108,100,0.14285714285714285,25
109,5,0.6666666666666666,4
109,10,0.42857142857142855,6
109,20,0.8181818181818182,18
109,50,0.35135135135135137,26
109,100,0.28205128205128205,44
110,5,0.25,2
110,10,0.42857142857142855,6
110,20,0.3333333333333333,10
110,50,0.26582278481012656,21
110,100,0.1695906432748538,29
111,5,0.25,2
111,10,0.17647058823529413,3
111,20,0.3333333333333333,10
111,50,0.17647058823529413,15
111,100,0.21212121212121213,35
112,5,0.1111111111111111,1
