query_idx,n_docs,spearman_r,spearman_p,pearson_r,pearson_p,kendall_tau,kendall_p,pointbiserial_r,pointbiserial_p
26,6000,-0.1335642508983703,2.7457485613869176e-25,-0.4793087425422542,0.0,-0.10873725071751374,2.809721254433682e-25,0.14850368330854732,6.21171968950623e-31
27,6000,-0.11377880707827141,9.558871564394112e-19,-0.36372124074642287,4.289384428260285e-187,-0.09164846247401076,5.4334139436570125e-19,0.10682747884190694,1.069103993387306e-16
28,6000,-0.1837412720221879,1.036248150222891e-46,-0.3498400239488651,2.7091003046989956e-172,-0.14922745060309575,2.2953749861339012e-46,0.1641919739542189,1.585899678033291e-37
29,6000,-0.0880933858469325,8.168834835491038e-12,-0.2779714993917214,6.75321898839743e-107,-0.07179109189757284,7.994987350323935e-12,0.19967549743227153,5.2269042476435585e-55
30,6000,-0.1743144963377551,3.801474931874793e-42,-0.38650599642505434,4.918609573554808e-213,-0.14040640271098317,3.8084374628154594e-42,0.11854875332156821,3.161362894183253e-20
31,6000,-0.055148097647201584,1.918971984133435e-05,-0.26313920466225726,1.3580780228547734e-95,-0.044687657645382635,1.926258434269023e-05,0.16374009748180732,2.5106926999135444e-37
32,6000,-0.06371912632571192,7.82613681991332e-07,-0.12968868055841243,6.36030830345092e-24,-0.05191892642621931,7.866864525357411e-07,0.29597667465137145,1.359646947425912e-121
33,6000,-0.11763029685975611,6.16167735730209e-20,-0.24889981660129717,2.089243581080563e-85,-0.09300237014253968,5.138928816843027e-20,0.08742148137942939,1.175286244372377e-11
34,6000,-0.05575216676369858,1.5531992129694064e-05,-0.27385320883016373,1.0959550584680543e-103,-0.04527244742823736,1.492590998581278e-05,0.18202121070789404,7.366792059094843e-46
35,6000,-0.1942449545185433,4.2539477263554546e-52,-0.44500531827320766,8.608026024481875e-290,-0.15741544548463574,8.22631061359871e-52,0.12905031891735308,1.057709599888516e-23
36,6000,-0.297225426605465,1.1850477716102825e-122,-0.4860480761455218,0.0,-0.23679196790304424,7.733858200361099e-121,0.08557784112870151,3.144659565899416e-11
