query_idx,gt_dist,mean_ngt_dist,min_ngt_dist,n_in_tier,pct_ngt_further,gt_would_win_dist
36,5.960464477539063e-08,0.39542845579294056,0.22630709409713745,14,100.0,1
37,0.0,0.3491586393543652,0.1835375428199768,29,100.0,1
38,1.7881393432617188e-07,0.3089831992983818,0.17442268133163452,9,100.0,1
39,0.0,0.31698724203225637,0.21414458751678467,19,100.0,1
40,1.1920928955078125e-07,0.30821600870082255,0.17402851581573486,20,100.0,1
41,0.0,0.2596101394066444,0.2045654058456421,14,100.0,1
42,0.0,0.18499508500099182,0.13808107376098633,5,100.0,1
44,5.960464477539063e-08,0.17053817070665814,0.06097054481506348,22,100.0,1
45,2.384185791015625e-07,0.3154987237032722,0.1908031702041626,18,100.0,1
46,0.0,0.4395442654689153,0.26682204008102417,7,100.0,1
47,0.0,0.4383661234130462,0.10958755016326904,16,100.0,1
48,0.0,0.29536690612634026,0.11391687393188477,16,100.0,1
50,0.0,0.3304142387849944,0.13567250967025757,29,100.0,1
51,0.0,0.2889489001697964,0.12006455659866333,10,100.0,1
52,0.0,0.225985971364108,0.10837644338607788,12,100.0,1
53,0.0,0.18087986946105958,0.07891237735748291,26,100.0,1
54,0.0,0.4307718873023987,0.3995194435119629,5,100.0,1
55,0.0,0.5721749265988668,0.2989320158958435,4,100.0,1
56,0.0,0.3345980644226074,0.2512836456298828,12,100.0,1
57,0.0,0.31925296535094577,0.1453450322151184,13,100.0,1
58,0.0,0.38914071147640544,0.2887043356895447,25,100.0,1
59,5.960464477539063e-08,0.4796026885509491,0.34507012367248535,11,100.0,1
60,0.0,0.3176307422774179,0.19877076148986816,15,100.0,1
61,0.0,0.8384273629635572,0.6432119905948639,5,100.0,1
62,0.0,0.3079488540396971,0.1528862714767456,18,100.0,1
63,0.0,0.4067028511602145,0.25758183002471924,14,100.0,1
64,0.0,0.5365080386400223,0.22422140836715698,6,100.0,1
65,0.0,0.3892883062362671,0.3892883062362671,2,100.0,1
66,0.0,0.3053676084331844,0.1381412148475647,24,100.0,1
67,0.0,0.14110515334389426,0.08258658647537231,12,100.0,1
68,5.960464477539063e-08,0.2713633009365627,0.14381927251815796,8,100.0,1
69,1.1920928955078125e-07,0.2506537437438965,0.1797116994857788,12,100.0,1
70,0.0,0.26557052986962454,0.13552641868591309,8,100.0,1
71,0.0,0.27944232736315044,0.20016533136367798,8,100.0,1
72,0.0,0.4036492692387622,0.303896963596344,24,100.0,1
73,0.0,0.2598502039909363,0.1442244052886963,5,100.0,1
74,0.0,0.37952929202999386,0.2072063684463501,15,100.0,1
75,0.0,0.29071337532252073,0.1630697250366211,26,100.0,1
76,1.1920928955078125e-07,0.31033965200185776,0.24743258953094482,9,100.0,1
77,1.1920928955078125e-07,0.46729929000139236,0.3875797986984253,9,100.0,1
78,0.0,0.3392854503222874,0.22641444206237793,15,100.0,1
79,0.0,0.2747064232826233,0.2747064232826233,2,100.0,1
80,0.0,0.29823325872421264,0.138594388961792,16,100.0,1
81,0.0,0.5613910416762035,0.26688331365585327,16,100.0,1
82,0.0,0.375388244787852,0.25319886207580566,7,100.0,1
83,0.0,0.37102413177490234,0.37102413177490234,2,100.0,1
84,0.0,0.24940019150575002,0.12134420871734619,16,100.0,1
85,1.7881393432617188e-07,0.20534569025039673,0.14778763055801392,3,100.0,1
86,0.0,0.5470849722623825,0.2753142714500427,3,100.0,1
89,0.0,0.2945287972688675,0.13948297500610352,5,100.0,1
90,0.0,0.2642599729930653,0.0666271448135376,18,100.0,1
91,0.0,0.3761001651485761,0.1783837080001831,13,100.0,1
92,0.0,0.21969456672668458,0.20344048738479614,6,100.0,1
93,0.0,0.2919814246041434,0.11958485841751099,15,100.0,1
94,0.0,0.3797023943785963,0.22755318880081177,30,100.0,1
95,0.0,0.22817445794741312,0.18661922216415405,7,100.0,1
96,0.0,0.4766557452801083,0.29046809673309326,15,100.0,1
97,0.0,0.2844879925251007,0.22007548809051514,7,100.0,1
98,0.0,0.20450531244277953,0.1398383378982544,6,100.0,1
99,1.1920928955078125e-07,0.40266920905560255,0.13606232404708862,19,100.0,1
100,1.1920928955078125e-07,0.19892781972885132,0.0731046199798584,5,100.0,1
101,2.384185791015625e-07,0.3677128782639137,0.23083263635635376,14,100.0,1
102,0.0,0.19365739822387695,0.19365739822387695,2,100.0,1
103,1.1920928955078125e-07,0.34650477453282,0.19445443153381348,20,100.0,1
104,0.0,0.3768633924148701,0.1736546754837036,28,100.0,1
105,1.1920928955078125e-07,0.358779509862264,0.22042107582092285,7,100.0,1
106,0.0,0.361605016843361,0.10615414381027222,18,100.0,1
108,0.0,0.3019706606864929,0.27895569801330566,3,100.0,1
109,0.0,0.2052497538653287,0.15217292308807373,12,100.0,1
110,0.0,0.319774587949117,0.2989389896392822,4,100.0,1
112,0.0,0.34553535655140877,0.16823232173919678,9,100.0,1
113,0.0,0.24706476075308664,0.09113621711730957,15,100.0,1
114,0.0,0.24499958753585815,0.2217693328857422,5,100.0,1
115,0.0,0.33072408139705656,0.26503896713256836,11,100.0,1
116,0.0,0.2224237322807312,0.19573760032653809,3,100.0,1
117,0.0,0.4687294661998749,0.17990994453430176,4,100.0,1
118,0.0,0.48986832631958854,0.21880841255187988,10,100.0,1
119,0.0,0.2590111494064331,0.2590111494064331,2,100.0,1
120,0.0,0.37771743711303263,0.16243326663970947,18,100.0,1
121,0.0,0.1969979868994819,0.11909747123718262,10,100.0,1
122,1.1920928955078125e-07,0.10287942737340927,0.05693483352661133,9,100.0,1
123,1.1920928955078125e-07,0.3555545615298407,0.2004392147064209,15,100.0,1
124,0.0,0.23098038964801365,0.09543168544769287,19,100.0,1
125,5.960464477539063e-08,0.292517252266407,0.20513105392456055,9,100.0,1
126,0.0,0.3187125325202942,0.2780383825302124,4,100.0,1
127,0.0,0.2475982904434204,0.15865904092788696,7,100.0,1
128,0.0,0.36923249904066324,0.08585923910140991,17,100.0,1
129,0.0,0.24356919527053833,0.24356919527053833,2,100.0,1
130,0.0,0.40928326298793155,0.260714590549469,13,100.0,1
131,1.7881393432617188e-07,0.4254081203387334,0.28426170349121094,14,100.0,1
132,0.0,0.22439599633216858,0.0992233157157898,11,100.0,1
133,0.0,0.5294540971517563,0.26783430576324463,3,100.0,1
134,0.0,0.494814943936136,0.230818510055542,10,100.0,1
135,0.0,0.48319717830625075,0.13765913248062134,30,100.0,1
136,0.0,0.40594654423849924,0.18573641777038574,8,100.0,1
137,0.0,0.28652491739818026,0.12999844551086426,8,100.0,1
138,0.0,0.2418720324834188,0.2367265820503235,4,100.0,1
139,0.0,0.2424008697271347,0.14554381370544434,13,100.0,1
141,0.0,0.27937290498188566,0.1328411102294922,8,100.0,1
142,0.0,0.3083946279117039,0.24489587545394897,8,100.0,1
143,0.0,0.31593191623687744,0.31593191623687744,2,100.0,1
144,0.0,0.2673009157180786,0.20465266704559326,6,100.0,1
145,0.0,0.3385511061974934,0.16929185390472412,8,100.0,1
146,0.0,0.3573509861122478,0.20959705114364624,23,100.0,1
147,0.0,0.2972666621208191,0.265216588973999,3,100.0,1
148,5.960464477539063e-08,0.19202972833926862,0.1424105167388916,14,100.0,1
149,0.0,0.24063716332117716,0.14426279067993164,7,100.0,1
150,0.0,0.3127967661077326,0.2129058837890625,23,100.0,1
151,0.0,0.33827049202389187,0.05265450477600098,10,100.0,1
152,0.0,0.5203606883684794,0.39433836936950684,4,100.0,1
153,0.0,0.30858814174478705,0.1148560643196106,23,100.0,1
154,0.0,0.33083558082580566,0.24453389644622803,4,100.0,1
155,0.0,0.1899605095386505,0.12319028377532959,9,100.0,1
156,1.1920928955078125e-07,0.3273393750190735,0.20616567134857178,11,100.0,1
157,0.0,0.39036785066127777,0.2678161859512329,9,100.0,1
158,0.0,0.2953457113574533,0.16055500507354736,18,100.0,1
159,5.960464477539063e-08,0.2736174355853688,0.22916525602340698,12,100.0,1
160,2.384185791015625e-07,0.19710639544895717,0.10758399963378906,8,100.0,1
161,0.0,0.21016960144042968,0.1728162169456482,11,100.0,1
162,0.0,0.2583160400390625,0.2583160400390625,2,100.0,1
163,0.0,0.28064054250717163,0.2422581911087036,4,100.0,1
164,0.0,0.3123254236720857,0.178877592086792,22,100.0,1
165,0.0,0.3636574372649193,0.253801167011261,5,100.0,1
166,0.0,0.23535016179084778,0.19731873273849487,5,100.0,1
167,0.0,0.29932471364736557,0.26533043384552,9,100.0,1
168,0.0,0.3837183862924576,0.18632107973098755,11,100.0,1
169,0.0,0.17950403690338135,0.17950403690338135,2,100.0,1
170,1.1920928955078125e-07,0.5205457371014816,0.1651337742805481,14,100.0,1
171,0.0,0.1931003948052724,0.09052443504333496,16,100.0,1
172,0.0,0.34892584489924566,0.058991312980651855,15,100.0,1
173,0.0,0.23976776599884034,0.194413423538208,6,100.0,1
174,0.0,0.206068217754364,0.13873302936553955,9,100.0,1
175,0.0,0.415799876054128,0.2939816117286682,13,100.0,1
176,0.0,0.2055745005607605,0.18131810426712036,6,100.0,1
177,0.0,0.2357827623685201,0.18483495712280273,13,100.0,1
178,1.1920928955078125e-07,0.45237378031015396,0.30172014236450195,5,100.0,1
179,0.0,0.3921417643626531,0.25268423557281494,7,100.0,1
181,0.0,0.2746001183986664,0.11327475309371948,6,100.0,1
182,0.0,0.6255294680595398,0.3936808109283447,3,100.0,1
183,3.5762786865234375e-07,0.15442824363708496,0.15442824363708496,2,100.0,1
184,5.960464477539063e-08,0.23716382185618082,0.19438302516937256,4,100.0,1
185,1.1920928955078125e-07,0.17165338076077974,0.0829697847366333,14,100.0,1
186,0.0,0.3271271139383316,0.20326286554336548,5,100.0,1
188,0.0,0.27919328212738037,0.27919328212738037,2,100.0,1
189,1.1920928955078125e-07,0.28259263435999554,0.23486226797103882,4,100.0,1
190,1.1920928955078125e-07,0.41910131161029524,0.14418518543243408,40,100.0,1
191,0.0,0.36897030047007967,0.24982976913452148,8,100.0,1
192,0.0,0.25147220492362976,0.07820260524749756,15,100.0,1
193,0.0,0.2361331731081009,0.07450884580612183,15,100.0,1
194,1.7881393432617188e-07,0.3162681481667927,0.13714385032653809,15,100.0,1
195,0.0,0.35853895731270313,0.16477876901626587,9,100.0,1
196,0.0,0.28780677914619446,0.24955689907073975,3,100.0,1
197,1.1920928955078125e-07,0.30497407100417395,0.17637979984283447,12,100.0,1
198,0.0,0.4742313176393509,0.3537977933883667,5,100.0,1
199,0.0,0.28019017974535626,0.18186771869659424,13,100.0,1
