query_idx,n_docs,spearman_r,spearman_p,pearson_r,pearson_p
49,6000,-0.20547342110383418,3.277012225069384e-58,-0.4185360745867313,3.664074690007372e-253
50,6000,-0.23834410945111467,2.8864506412202975e-78,-0.5126452712395302,0.0
51,6000,-0.20485590117843147,7.266079014383923e-58,-0.39964354490616016,5.838881445303945e-229
52,6000,-0.12385737568912746,6.028526381849263e-22,-0.35181850220088706,2.3362704002316553e-174
53,6000,-0.1951585094047197,1.3969477606389712e-52,-0.4206612602093923,5.527792492205396e-256
54,6000,-0.2257455240375119,3.410358765821175e-70,-0.3439156834999425,3.3545348568092397e-166
55,6000,-0.13381207713946508,2.2386979166392037e-25,-0.2817623303788459,6.686111454720751e-110
56,6000,-0.20523137069456565,4.478829591919111e-58,-0.4298587687184333,1.9714042220685647e-268
57,6000,-0.21667189459708164,1.117111719031221e-64,-0.39763368477592387,1.777902085265135e-226
58,6000,-0.12918339604432677,9.515023698383094e-24,-0.41663716260302386,1.1689306410340905e-250
59,6000,-0.1648949871280868,7.739844589137134e-38,-0.26919489589437895,4.020377681547625e-100
60,6000,-0.09712459964023239,4.7177157321755e-14,-0.3362576650709831,1.6105547357121137e-158
61,6000,-0.040817590193874737,0.0015648734653514857,-0.03322614697150886,0.010057076978936777
62,6000,-0.2794081550891267,4.971677072671412e-108,-0.5646328611601091,0.0
63,6000,-0.1939199008486782,6.3136640181925035e-52,-0.30955995134835806,2.0860326889714174e-133
64,6000,-0.06730896468136656,1.803173575810212e-07,-0.18784168466524173,8.92363125803665e-49
65,6000,-0.09975991621375228,9.551701305402426e-15,-0.29606159752429106,1.1522022552747121e-121
66,6000,-0.05772180570162004,7.68018976525217e-06,-0.28873106431509865,1.5060963624244514e-115
67,6000,-0.16204113641850068,1.3957569187008322e-36,-0.4048233180012068,1.931357959360034e-235
68,6000,-0.1952946677827866,1.1827514861697228e-52,-0.4086824621671937,2.4106909686568205e-240
69,6000,-0.10990966356063636,1.369578276322569e-17,-0.2662561152825774,6.557842524844156e-98
70,6000,-0.20765263688412822,1.9323453197327535e-59,-0.3814590292119246,4.157029567973667e-207
71,6000,-0.10173737183348112,2.80240138840431e-15,-0.442288291980671,7.030296911337281e-286
72,6000,-0.12223012665473387,2.0673442949118008e-21,-0.3840358035580159,4.034679978223269e-210
73,6000,-0.260061442061976,2.451357973897319e-93,-0.3919578710259893,1.4825453365961007e-219
74,6000,-0.1494348679133489,2.6362674213073634e-31,-0.5110994023663147,0.0
75,6000,-0.14811941580772928,8.83316091840178e-31,-0.5074032925584908,0.0
76,6000,-0.23277042227029365,1.2346897531858203e-74,-0.4696106893591232,0.0
77,6000,-0.28913157909091414,7.052678122334968e-116,-0.4434453624728178,1.5322920416083636e-287
78,6000,-0.117365556545978,7.461370236175568e-20,-0.33612694466360293,2.1687501082974846e-158
79,6000,-0.2352129423101475,3.251156606449822e-76,-0.4137121601023903,7.816989637448491e-247
80,6000,-0.15215034312638362,2.098080375283712e-32,-0.3991820637515306,2.178235892472275e-228
81,6000,-0.07927859199157897,7.782860384748893e-10,-0.1044684393451249,4.954378919625454e-16
82,6000,-0.10953355258228104,1.7654054902907987e-17,-0.36568366033834754,3.0180454860721607e-189
83,6000,-0.16849528141407086,1.8682701964165336e-39,-0.4115252061089947,5.348864449076857e-244
84,6000,-0.16846296025250695,1.932507870332922e-39,-0.3956938146119834,4.2727075930392386e-224
85,6000,-0.05293760739538348,4.0861849530126225e-05,-0.22494892543279646,1.0640211542258395e-69
86,6000,-0.20857647085682499,5.763301428151726e-60,-0.4349996075812551,1.4683008031445347e-275
87,6000,-0.12872556218482276,1.3687227416864322e-23,-0.25216055864348813,1.1062988866030598e-87
